id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita;despesa_contratada;porcentagem;votos
210000610891;DEPUTADO FEDERAL;ANA ALICE LOPES BOA NOVA;2333;ANINHA DO IAPI;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;PORTO ALEGRE;15/11/1965;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;AGENTE DE SAÚDE E SANITARISTA;N;NÃO ELEITO;DEFERIDO;180000.0;12963.86;5438.0;0,03%;1682.0
210000600046;DEPUTADO FEDERAL;JANDIRA JULIA VIEIRA CAMACHO;5013;JANDIRA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;SANTANA DO LIVRAMENTO;01/07/1962;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);N;SUPLENTE;DEFERIDO;13524.67;548.4100000000001;448.5;0,00%;276.0
210000604637;DEPUTADO FEDERAL;ALINE MULLER DA SILVEIRA;1224;ALINE MULLER;APTO;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;PORTO ALEGRE;26/06/1978;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;12000.0;10000.0;9956.6;0,02%;1116.0
210000603874;DEPUTADO FEDERAL;IRMA DE LIMA DE MARTINS;5425;IRMA LIMA;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;ROSÁRIO DO SUL;25/12/1961;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;EMPREGADO DOMÉSTICO;N;NÃO ELEITO;DEFERIDO;110000.0;2136.74;;0,00%;112.0
210000605285;DEPUTADO FEDERAL;JONES ALEXANDRE MARTINS;1566;JONES MARTINS;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;MELEIRO;20/11/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;355244.0;1579470.73;1571819.41;0,46%;26924.0
210000604836;DEPUTADO FEDERAL;RODINEI ESCOBAR XAVIER CANDEIA;1141;RODINEI CANDEIA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;LAGOA VERMELHA;14/12/1966;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;600481.83;123133.31;114883.31;0,41%;23839.0
210000603663;DEPUTADO FEDERAL;MANOEL RENATO TELES BADKE;2525;MANOEL BADKE (MANECO);APTO;DEFERIDO;25;DEM;DEMOCRATAS;SANTA MARIA;19/06/1955;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;N;SUPLENTE;DEFERIDO;300600.52;20546.88;12968.44;0,12%;7261.0
210000616455;DEPUTADO FEDERAL;REJANE WEBSTER DE CARVALHO;5508;REJANE WEBSTER DE CARVALHO;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;ARROIO DOS RATOS;08/10/1956;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;;56248.47;50770.0;0,04%;2261.0
210000600973;DEPUTADO FEDERAL;RENATO DE OLIVEIRA NUNES;2203;RENATO NUNES;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;PORTO ALEGRE;29/04/1973;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;30000.0;38128.47;32044.32;0,05%;2772.0
210000604825;DEPUTADO FEDERAL;CARLOS NILO COELHO PINTOS;1120;CARLOS NILO;APTO;DEFERIDO;11;PP;PROGRESSISTAS;SANTANA DO LIVRAMENTO;09/07/1970;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;32158.12;37750.0;32745.129999999997;0,10%;5926.0
210000604797;DEPUTADO FEDERAL;NILTON JOSE SICA MAGALHÃES;4567;ENGENHEIRO NILTON MAGALHÃES;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PORTO ALEGRE;08/07/1962;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;587843.42;104675.0;92849.8;0,30%;17424.0
210000600949;DEPUTADO FEDERAL;ELEMAR DE BASTOS;4035;BASTOS;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;RIO PARDO;28/11/1958;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;12100.0;10000.0;0,00%;125.0
210000604796;DEPUTADO FEDERAL;MARIA ROZARIO BICA;4555;FARMACÊUTICA ROZARIO BICA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;RIO GRANDE;09/07/1964;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;851513.6;29736.93;20888.66;0,06%;3670.0
210000604811;DEPUTADO FEDERAL;ANTONIO CARLOS GOMES DA SILVA;1010;CARLOS GOMES;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;SAÚDE;13/06/1972;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;S;ELEITO POR QP;DEFERIDO;121327.95;902764.35;881096.17;1,77%;103373.0
210000629738;DEPUTADO FEDERAL;MIRIAM MELLO DA COSTA;9086;MIRIAM MELLO;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PORTO ALEGRE;10/06/1962;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;1209.1;;0,00%;15.0
210000604799;DEPUTADO FEDERAL;MOISÉS DA SILVA BARBOZA;4545;MOISÉS BARBOZA;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SÃO BORJA;02/09/1978;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;780000.0;87966.67;78652.82;0,11%;6364.0
